brand,goods_id,link,product_price,star_count,title
컬러 배색 다운 자켓(FS2DJD4104XBLK),2204176,https://store.musinsa.com/app/goods/2204176?loc=goods_rank,"219,000원",1,블랙 오버핏 메탈릭 화섬 셔켓
detachable collar over fit coat_CWCAA21503BEX,2211883,https://store.musinsa.com/app/goods/2211883?loc=goods_rank,,13,
마운틴쿡 RDS 남성 다운 숏패딩 (BLACK),2034597,https://store.musinsa.com/app/goods/2034597?loc=goods_rank,,18,버핑레더 빅 포켓 블루종_Black
Jungle Fatigue Jacket,1760937,https://store.musinsa.com/app/goods/1760937?loc=goods_rank,,93,블루 오버핏 데님  트러커 자켓
7H72021 남성 레제로 LEGGERO 경량 다운 자켓,2245279,https://store.musinsa.com/app/goods/2245279?loc=goods_rank,"28,900원",7,미니멀 푸퍼 숏 패딩_라이트 카키
V01 덕베스트 (블랙),1497109,https://store.musinsa.com/app/goods/1497109?loc=goods_rank,"175,200원",12,[누빔안감]버핑레더 블레이져 자켓
4BUTTON CARDIGAN CHECK PURPLE,2251868,https://store.musinsa.com/app/goods/2251868?loc=goods_rank,"499,000원",740,리버시블 퀼팅 자켓(카키)
TWEED SHORT JUMPER IN BLACK,2195380,https://store.musinsa.com/app/goods/2195380?loc=goods_rank,"119,900원",2,레이 테크 오버핏 후드 집업 자켓_Black
SLIT JACKET [CHARCOAL],2127281,https://store.musinsa.com/app/goods/2127281?loc=goods_rank,"279,000원",2,[그레이휴X남윤수] 2-Way Quilted Coat BROWN G9WAC841_74
피크드 라펠 롱 코트 (BLACK),2229093,https://store.musinsa.com/app/goods/2229093?loc=goods_rank,"179,000원",22,셰르파 워크 재킷 (블랙)
[슈나이더] (여성)CRUMP바람막이자켓_SF1F2JK03,1287705,https://store.musinsa.com/app/goods/1287705?loc=goods_rank,,3,V112 루즈핏 오버 체크 블레이저 (베이지)
071910 라이트웨이트 다운 베스트,2114831,https://store.musinsa.com/app/goods/2114831?loc=goods_rank,,10,덕다운 더블 하프 패딩_Khaki
루즈핏 후드집업_SPMZB49G02,2045870,https://store.musinsa.com/app/goods/2045870?loc=goods_rank,,434,FLEECE HERITAGE HANDSOME DAN BLOUSON BLACK
